Price,SquareFootage,NumBathrooms,NumBedrooms,BackyardSpace,CrimeRate,SchoolRating,AgeOfHome,DistanceToCityCenter,EmploymentRate,PropertyTaxRate,RenovationQuality,LocalAmenities,TransportAccess,Fireplace,HouseColor,Garage,Floors,Windows,PreviousSalePrice,IsLuxury
358084.3671,1379.4,2.230783047,1,39.47,38.54,4.36,36.29,24.7,92.66,1.43,3.96,6.56,5.79,1,4,0,1,8,219080.4787,1
122433.8106,550.0,2.199335996,2,967.79,45.96,3.3,87.55,51.05,90.6,1.92,4.92,1.21,2.64,0,4,1,1,13,74562.97339,0
392351.1221,1114.83,2.359199828,5,315.97,17.94,7.03,62.92,8.29,98.47,1.96,5.14,6.34,6.43,1,3,0,1,6,455141.6568,0
154684.3011,550.0,1.554193107,3,770.54,90.25,6.44,33.25,41.85,93.46,1.21,4.24,7.62,5.55,1,3,0,2,29,116431.2807,0
308077.9041,694.47,1.916043108,4,608.85,34.01,8.07,64.96,21.25,91.76,2.55,4.62,8.6,7.65,0,4,0,1,19,230161.809,1
361101.5661,981.06,1.350855285,4,701.62,26.86,10.0,40.92,26.77,96.28,1.6,7.54,8.01,6.36,1,2,0,1,10,423606.0861,1
367534.6529,1139.21,1.703168404,4,394.97,43.4,9.81,31.62,7.63,99.9,1.29,6.98,6.24,6.09,1,2,1,1,22,538301.9878,1
488512.0736,1255.41,1.728055742,4,600.75,11.32,7.98,39.45,19.28,83.98,2.64,7.52,6.95,4.36,0,4,0,2,20,348567.6702,1
117175.1588,550.0,2.893456568,2,857.44,4.75,7.78,21.55,23.4,99.9,1.52,4.89,6.68,7.14,0,4,0,1,10,37017.79751,0
383024.0157,1569.31,2.837246104,3,1037.97,14.37,5.09,84.33,6.04,99.02,1.63,3.62,6.74,4.07,0,0,0,2,26,377066.0735,1
348991.4784,1398.64,1.0,3,117.0,24.14,10.0,48.19,4.22,88.66,1.39,7.43,8.36,9.9,0,1,0,1,10,374371.9442,1
343291.7696,1496.13,3.009158001,4,533.45,7.99,5.82,13.48,18.91,94.21,2.8,6.72,7.73,8.55,0,2,1,1,7,504701.4498,0
